pna,ao,soi,dxs,dD,unc,dO,unc.1,amount [mL],date
-0.053,-1.418,9.04,17.79362845,-13.17376987,0.900438112,-3.87092479,0.341757277,692.824812,8/11/03
-0.106,-0.966,1.97,17.90425523,-13.17955747,0.901917062,-3.885476588,0.342301321,697.7052632,8/12/03
-0.202,-0.213,-3,18.01488202,-13.18534507,0.903396013,-3.900028386,0.342845364,702.5857143,8/13/03
-0.237,0.327,1.97,18.1255088,-13.19113267,0.904874963,-3.914580184,0.343389407,707.4661654,8/14/03
-0.087,0.589,0.69,18.23613559,-13.19692027,0.906353913,-3.929131982,0.343933451,712.3466165,8/15/03
-0.166,0.675,-1,18.34676237,-13.20270787,0.907832864,-3.94368378,0.344477494,717.2270677,8/16/03
-0.203,0.919,-8.94,18.45738915,-13.20849547,0.909311814,-3.958235578,0.345021537,722.1075188,8/17/03
0.294,0.886,-6.54,18.56801594,-13.21428307,0.910790764,-3.972787376,0.345565581,726.9879699,8/18/03
0.699,1.059,12.09,18.67864272,-13.22007067,0.912269715,-3.987339174,0.346109624,731.8684211,8/19/03
0.685,1.162,13.78,18.78926951,-13.22585827,0.913748665,-4.001890972,0.346653668,736.7488722,8/20/03
0.369,1.143,16.18,18.89989629,-13.23164587,0.915227615,-4.01644277,0.347197711,741.6293233,8/21/03
0.069,0.401,10.97,19.01052307,-13.23743347,0.916706566,-4.030994568,0.347741754,746.5097744,8/22/03
-0.243,-0.587,6.79,19.12114986,-13.24322107,0.918185516,-4.045546365,0.348285798,751.3902256,8/23/03
-0.407,-1.16,-4.69,19.23177664,-13.24900867,0.919664467,-4.060098163,0.348829841,756.2706767,8/24/03
-0.481,-1.221,-4.77,19.34240342,-13.25479627,0.921143417,-4.074649961,0.349373884,761.1511278,8/25/03
-0.709,-0.999,-6.13,19.45303021,-13.26058387,0.922622367,-4.089201759,0.349917928,766.0315789,8/26/03
-0.653,-0.951,-6.86,19.56365699,-13.26637147,0.924101318,-4.103753557,0.350461971,770.9120301,8/27/03
-0.05,-1.198,-20.34,19.67428378,-13.27215907,0.925580268,-4.118305355,0.351006015,775.7924812,8/28/03
0.525,-1.097,-11.59,19.78491056,-13.27794667,0.927059218,-4.132857153,0.351550058,780.6729323,8/29/03
0.976,-0.438,-9.83,19.89553734,-13.28373427,0.928538169,-4.147408951,0.352094101,785.5533835,8/30/03
