SampleName,site,In,Out,middate,dxs,dD,unc,dO,unc,amount [mL],SOI in (monthly),SOI out (monthly),SOI middate (monthly),SOI average (monthly),PNA in (daily),PNA out (daily),PNA middate (daily),PNA average (daily),AO in (daily),AO out (daily),AO middate (daily),AO average (daily)
TC9843SW,CA42,39105.53125,39114.70833,39110.11979,20.77704803,-61.34611997,0.964533048,-10.265396,0.277413049,495.2,-0.83,-0.38,-0.83,-0.68,0.951,1.058,0.785,0.931333333,-0.023,-0.106,0.54,0.137
TD0518SW,CA42,39119.6875,39128.5625,39124.125,17.2474497,-41.6179807,1.013223569,-7.3581788,0.253497535,1574.5,-0.38,-0.38,-0.38,-0.38,0.705,0.697,0.186,0.529333333,-1.68,-1.232,-1.529,-1.480333333
TD0596SW,CA42,39128.56597,39134.35417,39131.46007,18.0901185,-72.3664671,0.884327428,-11.3070732,0.210983412,1448.3,-0.38,-0.38,-0.38,-0.38,0.697,-1.068,0.152,-0.073,-1.232,-1.74,-0.529,-1.167
TD0862SW,CA42,39134.35764,39140.5625,39137.46007,23.64162073,-31.9458374,1.215625765,-6.948432267,0.258944009,3116.1,-0.38,-0.38,-0.38,-0.38,-1.068,-1.026,-1.242,-1.112,-1.74,0.298,-1.233,-0.891666667
TD1812SW,CA42,39154.48958,39164,39159.24479,17.23373777,-27.6539241,0.899944998,-5.610957733,0.280902118,524.4,-0.3,-0.3,-0.3,-0.3,-0.308,0.878,0.209,0.259666667,1.992,0.812,1.696,1.5
TD1949SW,CA42,39164.00347,39168.64583,39166.32465,17.21113453,-27.82980413,1.070406465,-5.630117333,0.309596512,241.4,-0.3,-0.3,-0.3,-0.3,0.878,0.422,0.765,0.688333333,0.812,1.322,1.702,1.278666667
TD3130SW,CA42,39189.71181,39196.82292,39193.26736,19.63808637,-78.2752811,4.48235,-12.23917093,3.083348,2204.2,-0.35,-0.35,-0.35,-0.35,1.247,0.539,0.81,0.865333333,1.342,1.246,-0.34,0.749333333
TD8916SW,CA42,39343.49653,39350.5,39346.99826,22.17132537,-26.06691357,1.199021685,-6.029779867,0.235544051,1372.8,0.12,0.12,0.12,0.12,1.348,1.872,1.068,1.429333333,0.665,0.12,1.589,0.791333333
TD9653SW,CA42,39364.56944,39371.5625,39368.06597,20.7033713,-22.77521963,0.859184497,-5.434823867,0.253270606,359.9,0.44,0.44,0.44,0.44,-0.27,1.339,1.241,0.77,-1.925,0.429,-0.26,-0.585333333
TE1504SW,CA42,39412.70139,39420.65278,39416.67708,21.43832973,-99.0174836,0.774032299,-15.05697667,0.202200396,2668,0.82,1.49,0.82,1.043333333,0.187,1.136,-0.453,0.29,-0.395,0.015,-1.043,-0.474333333
TE1767SW,CA42,39420.65278,39427.62153,39424.13715,21.29197673,-34.158339,0.96658833,-6.931289467,0.195890275,-9.9,1.49,1.49,1.49,1.49,1.136,-0.067,-0.197,0.290666667,0.015,0.342,1.827,0.728
TE2694SW,CA42,39434,39442.51389,39438.25694,23.00221753,-51.04030513,0.722352407,-9.255315333,0.267059918,1820.5,1.49,1.49,1.49,1.49,0.203,0.142,0.833,0.392666667,-0.966,2.249,0.579,0.620666667
TE2955SW,CA42,39449,39455,39452,13.5642178,-40.3771582,0.926631534,-6.742672,0.178129167,13473.1,1.54,1.54,1.54,1.54,0.456,-0.629,-0.739,-0.304,-2.468,-0.78,-0.333,-1.193666667
TE3863SW,CA42,39469,39476,39472.5,#N/A,#N/A,4.48235,#N/A,3.083348,13014.2,1.54,1.54,1.54,1.54,-0.219,-1.068,-0.807,-0.698,3.387,1.995,4.458,3.28
TE4732SW,CA42,39497,39504,39500.5,#N/A,#N/A,4.48235,#N/A,3.083348,3221.1,2.05,2.05,2.05,2.05,1.568,0.718,0.652,0.979333333,0.737,1.7,4.59,2.342333333
TE5712SW,CA42,39518,39525,39521.5,12.73219077,-36.3609439,1.419273053,-6.136641833,0.191298197,252.1,1.04,1.04,1.04,1.04,0.327,-0.494,-0.47,-0.212333333,1.822,-0.075,-0.456,0.430333333
TE6188SW,CA42,39532,39539,39535.5,5.054265133,-22.9667442,0.957384458,-3.502626167,0.242744722,188.1,1.04,0.56,1.04,0.88,-0.743,-0.806,-0.957,-0.835333333,1.312,0.007,0.754,0.691
TE8130SW,CA42,39588,39595,39591.5,16.93385283,-41.7438205,1.490649523,-7.334709167,0.223080703,3544.1,-0.25,-0.25,-0.25,-0.25,0.517,0.159,0.291,0.322333333,-1.328,0.317,-1.698,-0.903
